;Adresse;CP;Ville;Nutella;Riz;Pates;Beurre;Caprice des dieux;Papier toilette;Pain de mie
605; 4 Rue Coislin;57000;Metz ;;1.95;;3.15;;;
606; 4 Rue Des Arenes;30127;Bellegarde ;4.79;1.65;1.59;2.28;;2.29;1.35
607; 4 Rue Du Mail La Croix Rousse;69004;Lyon ;;2.01;;2.8;3.38;2.2;1.52
608; 4 Rue Francois Georgin;88000;Épinal ;;1.95;;3.4;3.6;;1.71
609; 4 Rue Jean Jaures;27000;Évreux ;5.26;1.97;1.93;;3.32;;1.51
610; 4 Rue Lucien Pourxet;65100;Lourdes ;4.65;1.59;1.39;;2.95;2.09;1.25
611; 4 Rue Max Dormoy;75018;Paris ;5.54;2.03;2.16;;3.66;2.32;1.64
612; 4 Rue Montel;93250;Villemomble ;5.41;1.93;2.09;;3.49;2.2;1.52
613; 4 Rue Pierre De Coubertin 7 Rue Anatole France;28300;Mainvilliers ;5.09;2.16;1.6;2.67;3.1;2.32;1.27
614; 4 Rue Pierre Jacoby;60000;Beauvais ;5.13;2.14;2.09;2.98;2.99;2.23;1.3
615; 4 Rue Saint Louis;81310;Lisle S/Tarn -St Lou ;5.68;2.07;;;3.6;2.45;
616; 4/6 Rue De La Marne Galerie De L'hotel De Ville;51000;Châlons-en-Champagne ;4.65;1.59;1.59;;2.99;2.29;1.25
617; 40 Av La Liberation;54000;Nancy -Liberati ;5.85;1.95;;;3.5;;1.45
618; 40 Avenue D'argenton Beaulieu;36000;Châteauroux ;4.65;1.59;;2.21;2.99;2.15;1.25
619; 40 Avenue Gabriel Peri;78360;Montesson ;4.6;;1.55;2.21;2.99;2.15;1.25
620; 40 Route De Clermont Ferrand;43100;Brioude ;4.65;1.59;;;2.95;2.09;1.25
621; 40 Rue De Rambourg;49300;Cholet ;4.99;2.14;1.8;;2.99;2.29;1.26
622; 405 Chemin Bas De Montpellier;30000;Nîmes ;4.6;1.49;1.83;2.41;;2.07;1.24
623; 405 Rue Des Portes;27310;Bourg-Achard ;4.65;1.59;1.43;2.45;2.99;2.15;1.29
624; 41 Avenue Du Lombez;31300;Toulouse ;4.65;1.49;1.55;2.21;2.99;2.09;1.25
625; 41 Rue Carnot;71300;Montceau-les-Mines ;5.58;2.15;;;3.72;;
626; 41 Rue Soubitez;62600;Berck ;4.65;1.59;1.45;2.45;2.89;2.15;1.25
627; 42 Avenue De La Motte Picquet;75007;Paris ;;;2.21;;3.78;;1.69
628; 42 Avenue Robert Soleau;06600;Antibes ;5.26;2.01;2.03;2.95;3.38;;1.52
629; 42 Rue De La Liberation;21240;Talant ;4.99;1.75;1.9;2.7;2.99;2.35;1.25
630; 42 Rue De Lodi;13006;Marseille ;5.77;2.15;;;3.72;;
631; 42 Rue Du Florival;68530;Buhl ;5.65;1.95;2.1;3.05;3.39;2.65;
632; 42 Rue Parmentier;08700;Nouzonville ;4.65;1.59;;;2.99;2.15;1.29
633; 43 Avenue Marechal Joffre;66740;St-Genis-D/Fontaines ;5.53;2.07;;;2.99;2.4;
634; 43 Boulevard Du 14 Juillet;13500;Martigues ;4.76;1.92;2.04;2.7;;2.17;1.3
635; 43 Boulevard Felix Buhot;50700;Valognes ;4.65;1.59;;2.45;2.95;2.09;1.25
636; 43 Rue Des Sports;17138;Saint-Xandre ;;2.09;1.76;2.59;2.99;2.23;
