;Adresse;CP;Ville;Nutella;Riz;Pates;Beurre;Caprice des dieux;Papier toilette;Pain de mie
990; Avenue De La Hetraie;76550;Offranville ;4.75;1.59;1.55;;2.95;;1.25
991; Avenue De La Legion D'honneur;44600;Saint-Nazaire ;4.65;1.59;1.39;2.45;2.89;1.99;1.25
992; Avenue De La Liberation;77480;Bray-sur-Seine ;4.65;1.59;1.39;;2.95;;1.25
993; Avenue De La Liberation Le Champ Ste Croix;60150;Longueil-Annel ;;1.49;1.39;;2.89;1.99;1.25
994; Avenue De La Mer;83140;Six-Fours-les-Plages ;4.65;1.59;1.55;2.21;2.99;2.15;1.5
995; Avenue De La Plaine;15250;Jussac ;4.89;1.93;1.9;2.72;2.99;2.07;1.3
996; Avenue De La Republique Cc Pontault 2000;77340;Pontault-Combault ;4.65;1.65;1.65;;2.99;2.29;1.29
997; Avenue De La Resistance;71700;Tournus ;;1.65;1.59;;2.99;2.29;1.35
998; Avenue De La Victoire;02480;Jussy ;5.01;2.07;1.76;;2.99;2.13;1.28
999; Avenue De Perie;32110;Nogaro ;4.65;1.59;1.55;2.21;2.95;;1.25
1000; Avenue De Toulouse;12200;Villefranche-de-Rouergue ;4.6;1.59;1.55;2.45;2.99;2.15;1.25
1001; Avenue De Verdun;77370;Nangis ;4.65;1.49;1.55;;2.85;1.99;1.25
1002; Avenue De Villefranche Zac De Plaisance;41200;Romorantin-Lanthenay ;4.6;1.49;;;2.89;1.99;1.29
1003; Avenue Denis Thermes;73630;Le Châtelard ;4.99;;1.91;;2.99;;
1004; Avenue Des Allies;83240;Cavalaire-sur-Mer ;4.65;1.59;1.59;;2.99;4.3;1.25
1005; Avenue Des Corbieres;11200;Lézignan-Corbières ;4.65;1.49;1.55;2.21;2.89;1.79;1.25
1006; Avenue Des Fontenelles Parame;35400;Saint-Malo ;5.09;1.77;1.82;;;2.16;1.3
1007; Avenue Des Granges Blanches;42540;Saint-Just-la-Pendue ;5.58;2.15;2.1;3.0;3.61;;
1008; Avenue Des Palmiers Lotissement Le Mail;83140;Six-Fours-les-Plages ;5.41;;2.03;2.99;3.5;;
1009; Avenue Des Portes Occitanes Zi - N9;03800;Gannat ;4.65;1.59;1.39;;2.99;2.09;
1010; Avenue Des Pyramides;77420;Champs-sur-Marne ;;1.65;1.59;2.29;3.15;2.39;1.35
1011; Avenue Du Bon Pasteur Cc Ecully Grand Ouest;69130;Écully ;;1.65;1.59;;;2.29;1.29
1012; Avenue Du Bourbonnais;23600;Boussac ;4.75;1.59;;;2.99;2.15;1.25
1013; Avenue Du Gendarme Castermant Cc Chelles 2;77500;Chelles ;;1.59;1.59;2.29;;2.15;1.29
1014; Avenue Du General De Gaulle;10400;Nogent-sur-Seine ;4.65;1.59;1.55;2.45;2.99;2.15;1.25
1015; Avenue Du General De Gaulle Cc Rendez Vous;16800;Soyaux ;4.6;1.49;1.55;2.29;2.89;1.99;1.25
1016; Avenue Du General De Gaulle Zac De Maupas;71880;Châtenoy-le-Royal ;4.65;1.59;1.43;2.21;2.95;2.09;1.25
1017; Avenue Du General Leclerc;80460;Ault ;5.12;2.07;1.78;2.94;3.13;2.18;1.31
1018; Avenue Du General Patton;45330;Le Malesherbois ;4.65;1.59;;2.21;2.95;1.99;
1019; Avenue Du Grand Cottignies;59290;Wasquehal ;;1.59;1.55;2.45;2.99;;1.35
1020; Avenue Du Jai Alai;64220;Saint-Jean-Pied-de-Port ;4.65;1.49;1.55;2.21;2.84;;1.25
1021; Avenue Du Marechal Foch;01400;Châtillon-sur-Chalaronne ;4.65;1.59;1.43;2.39;2.89;2.15;1.25
1022; Avenue Du Marechal Gallieni;77165;Saint-Soupplets ;4.65;;;;2.95;2.15;1.25
1023; Avenue Du Nord;31210;Montréjeau ;4.65;1.59;1.39;2.21;2.99;1.9;1.25
1024; Avenue Du President Kennedy;64000;Pau ;;1.59;1.55;2.21;2.99;2.06;1.25
1025; Avenue Du President Roosevelt Cc De La Croix Dampierre;51000;Châlons-en-Champagne ;;1.59;1.55;2.29;2.99;2.29;1.35
1026; Avenue Edme-Pierre Chauvot De Be Auchene;89100;Paron -Chauvot ;;2.33;;;3.49;;
1027; Avenue Emmanuel Brion;76680;Saint-Saëns ;4.65;1.65;1.43;;2.99;4.3;1.35
1028; Avenue Francois Mitterand Cc L'arche;71200;Le Creusot ;4.65;1.49;1.55;;2.89;1.99;1.25
1029; Avenue Francois Mitterrand;62790;Leforest ;4.65;1.59;1.45;2.45;2.99;2.15;1.25
1030; Avenue George Freche Cc Grand Sud;34970;Lattes ;4.6;1.59;1.55;;2.95;1.99;1.29
1031; Avenue Georges Clemenceau;59680;Ferrière-la-Grande ;4.65;1.65;1.59;2.45;2.99;2.15;1.25
1032; Avenue Guynemer Zup Beau Marais  Cc Cote D'opale;62100;Calais ;4.6;1.49;1.55;2.39;2.89;1.89;1.25
1033; Avenue Henri Barbusse;59770;Marly ;4.65;1.59;1.55;;2.99;;1.29
1034; Avenue Henri Planchet;42340;Veauche ;4.65;1.59;1.55;2.45;2.95;2.09;1.25
1035; Avenue Hubert Mouly;11100;Narbonne ;;1.59;1.45;;2.77;1.8;1.07
1036; Avenue Jean Chatelet;18500;Mehun-sur-Yèvre ;4.65;1.49;;;2.89;1.79;1.25
1037; Avenue Jean Jaures;40190;Villeneuve-de-Marsan ;4.65;1.59;1.55;2.21;2.99;2.09;1.25
1038; Avenue Jean Leon Laporte Zac Des Pontots  Cc Bab2;64600;Anglet ;4.6;1.49;1.55;2.07;2.89;1.89;1.25
1039; Avenue Jean Martouret;43120;Monistrol-sur-Loire ;4.65;1.49;;;2.95;2.09;
1040; Avenue Jean Monet Lieu Dit Millet;31390;Carbonne ;4.65;1.49;1.55;;2.89;1.89;1.25
1041; Avenue Jean Moos Zi La Gaite;69550;Amplepuis ;4.75;1.65;1.59;2.45;2.99;2.29;1.29
1042; Avenue Joffre Cc Val De L'aa;62500;Saint-Martin-lez-Tatinghem ;4.6;1.49;1.55;2.39;2.99;1.99;1.25
1043; Avenue Kennedy;60800;Crépy-en-Valois ;4.65;1.93;1.55;2.21;2.99;2.15;1.25
1044; Avenue Leon Bourgeois Avenue Daveluy Briancourt;83000;Toulon ;4.65;1.59;1.59;2.21;2.99;2.15;
1045; Avenue Manoukian Lieu Dit Le Charrel;13400;Aubagne ;4.79;;1.59;;2.99;;1.25
1046; Avenue Marcel Paul;04220;Sainte-Tulle ;4.99;1.96;1.97;2.76;3.08;2.12;1.33
1047; Avenue Maximiliansau;76450;Cany-Barville ;4.65;1.59;1.59;;2.99;2.15;1.29
1048; Avenue Mozart;35830;Betton ;4.65;1.49;1.39;;;1.89;1.25
1049; Avenue Nelson Mandela Cc St Quentin;60000;Beauvais ;4.6;1.49;1.55;2.39;2.99;1.89;1.25
1050; Avenue Noellet;63110;Beaumont ;4.65;1.65;;;2.99;2.29;1.25
1051; Avenue Pierre Brule;72400;La Ferté-Bernard ;4.65;1.49;1.39;;2.89;1.99;1.25
1052; Avenue Pierre De Coubertin;84270;Vedène ;4.99;;1.79;2.58;3.08;2.12;1.33
1053; Avenue Pierre Mendes France;49240;Avrillé ;4.65;1.59;1.39;2.45;2.99;2.15;
1054; Avenue Raymond Poincare;19130;Objat ;4.65;;1.55;2.2;2.99;1.99;1.25
1055; Avenue Robert Schuman Val Notre Dame;78500;Sartrouville ;;1.59;1.55;2.29;2.99;2.15;1.29
1056; Avenue Stendhal Cc Les Fontaines;37000;Tours ;4.65;1.59;1.42;;2.99;2.15;1.25
1057; Avenue Van De Walles;71170;Chauffailles ;4.75;1.59;1.55;;2.99;4.3;1.25
1058; Avenue Victor Hugo;19110;Bort-les-Orgues ;;1.59;;2.39;2.89;2.09;1.25
1059; Bd Du Docteur Jacques Minet Cite Jardins;13140;Miramas ;4.65;1.59;1.39;2.21;2.95;1.99;1.25
1060; Bois De Chalimbaud D523;38190;Froges ;4.6;1.65;1.45;2.45;2.99;2.29;1.25
1061; Boulevard Charles De Gaulle Zac Croix Blanche;01000;Bourg-en-Bresse ;;1.59;1.55;;2.99;2.15;1.25
1062; Boulevard D'armor;22390;Bourbriac ;;2.14;1.8;;2.99;2.29;1.26
1063; Boulevard De Kent Cite De L'europe;62231;Coquelles ;4.6;1.49;1.55;2.39;2.95;1.89;1.25
1064; Boulevard De L'atlantique Cc Plein Sud;79000;Niort ;4.6;1.49;1.55;2.39;2.95;1.99;1.25
1065; Boulevard De L'europe;31120;Portet-sur-Garonne ;4.6;1.49;1.55;2.39;;;1.25
1066; Boulevard De L'europe Cc Evry 2;91000;Évry-Courcouronnes ;4.6;1.65;1.59;2.29;3.25;2.39;
1067; Boulevard De La Baule;44800;Saint-Herblain ;4.6;1.49;1.55;2.29;2.89;1.99;1.25
1068; Boulevard De La Republique;41300;Salbris ;4.65;1.59;;2.21;2.89;;
1069; Boulevard De Moselle;59000;Lille ;4.65;1.59;1.59;;2.99;2.29;1.25
1070; Boulevard De St Nazaire Zac Le Hecqueux;44380;Pornichet ;4.65;1.49;1.55;;2.95;2.09;1.25
1071; Boulevard Dentu;61120;Vimoutiers ;4.65;1.59;1.55;;2.99;2.09;1.25
1072; Boulevard Des Islandais;22680;Binic-Étables-sur-Mer ;4.65;1.49;1.39;2.39;2.89;1.89;1.25
1073; Boulevard Des Resistants;59550;Landrecies ;;1.59;1.55;;2.95;2.29;1.25
1074; Boulevard Des Sports Cc Dax 2000;40100;Dax ;4.6;1.49;1.55;2.39;2.95;1.89;1.25
1075; Boulevard Du Nord;32200;Gimont ;4.65;1.59;1.39;2.21;2.95;;1.25
1076; Boulevard Edouard Herriot Zac Mozart;69800;Saint-Priest ;4.65;1.59;1.55;2.65;2.95;1.99;
1077; Boulevard Elisabeth Boselli;49000;Angers ;5.72;2.33;2.02;2.99;3.49;;
1078; Boulevard Gambetta;95640;Marines ;4.65;1.65;1.59;;2.99;;1.29
1079; Boulevard Isambard;27200;Vernon ;4.6;1.59;1.59;;2.99;2.15;1.35
1080; Boulevard Jacques Duclos Rn 10;40220;Tarnos ;4.6;1.49;1.55;2.29;2.89;1.89;1.25
1081; Boulevard Louis Pradel;69330;Jonage ;4.65;1.59;1.45;;;2.15;1.25
1082; Boulevard Paul Doumer;14780;Lion-sur-Mer ;4.99;2.14;1.8;2.65;2.99;2.29;
1083; C.C Les Poiriers;31180;Lapeyrouse-Fossat ;5.68;2.07;2.2;2.9;3.46;;
1084; C.C. Des Longs Champs;14860;Ranville ;5.11;2.16;1.88;2.71;3.13;;1.29
1085; Cc Babylone Avenue Marechal Juin;83980;Le Lavandou ;4.79;1.65;1.59;;3.15;2.29;1.29
1086; Cc Bay 2 Avenue Du General De Gaulle;77090;Collégien ;;1.59;1.59;2.29;3.15;2.15;1.35
1087; Cc Boulevard De L'ouest Cc L'escapade;10600;La Chapelle-Saint-Luc ;;1.59;1.59;;2.99;2.15;1.29
1088; Cc Charras;92400;Courbevoie ;4.65;1.65;1.65;2.28;2.99;2.39;1.35
1089; Cc Chemin Vert;14000;Caen ;5.09;2.16;1.84;2.67;2.99;2.32;
1090; Cc De La Croix Blanche 0;77350;Le Mée-sur-Seine ;5.41;1.93;;;2.99;2.2;1.52
1091; Cc De La Porte Du Gatinais Zone Groue;45300;Dadonville ;4.65;1.49;;;2.89;1.89;1.25
1092; Cc Des 4 Boulevards 6 Bd Jacquard;62100;Calais ;4.65;1.59;;;2.99;;1.25
1093; Cc Des 7 Mares Rue Du Chemin Au Boeuf;78990;Élancourt ;4.65;1.65;1.59;;2.99;2.29;1.25
1094; Cc Des Muguets;38070;Saint-Quentin-Fallavier ;4.65;1.59;1.59;;2.99;2.09;1.25
1095; Cc Du Bocage Rue De La Foret;35235;Thorigné-Fouillard ;4.65;1.49;1.39;2.39;2.89;1.99;1.25
1096; Cc Du Marais;10100;Romilly-sur-Seine ;4.65;1.59;;2.21;2.95;2.15;1.25
1097; Cc Du Mesnil Roux;76360;Barentin ;4.6;1.49;1.55;2.39;2.89;2.15;1.29
1098; Cc Georges Besse;62520;Le Touquet-Paris-Plage ;4.65;1.59;1.39;;2.99;2.15;1.25
1099; Cc Grand Siecle 4 Rue De L'ecole Des Postes;78000;Versailles ;4.65;1.75;1.65;;2.99;2.79;1.39
1100; Cc Joli Mai 23 Avenue Du General De Gaulle;92360;Meudon La Foret ;4.65;1.65;1.59;;2.99;2.29;1.29
1101; Cc Kerfontaine;56400;Pluneret ;4.65;1.49;1.55;;2.89;1.89;1.25
1102; Cc La Creule;59190;Hazebrouck ;4.6;1.49;1.59;2.39;2.99;1.99;1.25
1103; Cc La Ramondia Rte De Labarthe De Neste;65300;Lannemezan ;4.65;1.59;1.55;2.21;2.99;1.99;1.25
1104; Cc Lacaussade;65000;Tarbes ;4.65;1.59;1.39;2.21;2.99;2.09;1.25
1105; Cc Le Meridien;59240;Malo Les Bains ;4.65;1.49;1.55;;2.89;2.15;
1106; Cc Le Moulin A Vent Route De Daux;31700;Mondonville ;4.65;1.59;;;2.95;1.99;1.25
1107; Cc Le Plan Rn 96;04700;La Brillanne ;4.65;1.59;1.55;2.21;2.99;2.15;1.25
1108; Cc Le Tregor;35830;Betton ;5.54;2.33;2.02;;3.37;;
1109; Cc Lehena Route De Bayonne;64120;Amendeuix-Oneix ;4.65;1.49;1.39;2.21;2.89;1.99;1.25
1110; Cc Les 4 Routes 3 Avenue De La Redoute;92600;Asnières-sur-Seine ;4.65;1.65;1.65;2.21;2.99;2.29;1.35
1111; Cc Les Forges;35760;Saint-Grégoire ;4.99;2.14;1.8;;3.06;2.29;1.26
1112; Cc Mont Blanc 1751 Avenue De Geneve;74700;Sallanches ;;1.59;1.55;;;2.15;1.29
1113; Cc Porte Des Flandres;62138;Auchy-les-Mines ;4.6;1.49;1.55;2.39;2.89;1.99;
1114; Cc Santa Devota Rn 93;20290;Borgo ;;1.65;1.45;2.33;2.99;2.29;1.35
1115; Cc Segny Ii Route Nationale 5;01170;Ségny ;;1.59;1.55;;;2.15;1.25
1116; Cc Terres Noires Les Portes Du Tarn;81370;Saint-Sulpice-la-Pointe ;4.65;1.59;1.55;;2.95;1.99;1.25
1117; Cc Val De Lys;62120;Aire-sur-la-Lys ;;1.49;1.55;2.39;2.89;1.89;1.25
1118; Cc Varenne Du Moulin A Vent Rn 10;86220;Dangé-Saint-Romain ;4.65;1.59;1.55;2.21;2.99;2.09;1.25
1119; Cc Vert Galant 137 Av Gilbert Berger;93290;Tremblay-en-France ;4.65;1.59;;;2.99;2.15;1.25
1120; Cc Zac Epinette 5005 F Rue De Bethune;62160;Aix-Noulette ;4.65;1.59;1.55;2.45;2.95;2.09;1.25
1121; Cd 143 Les Allees;62180;Verton ;4.65;1.59;1.59;2.45;2.99;2.29;1.29
1122; Cd 50 Rue De La Cite Neuve;27320;Nonancourt ;4.65;1.59;1.55;;2.99;4.18;1.25
1123; Cd 533;64150;Os-Marsillon ;4.65;1.59;1.39;2.21;2.99;2.09;
1124; Cd 67 Les Luyers;01340;Montrevel-en-Bresse ;4.65;1.49;1.55;;2.89;1.89;1.25
1125; Cd 82-70 Allee Des Maronniers Lot Les Millieres;01390;Saint-André-de-Corcy ;;1.59;1.55;;2.95;;1.25
1126; Centre Activites Sud;05100;Briançon ;4.65;1.49;1.55;;2.99;;1.25
1127; Centre Commercial La Bruyere 42 Avenue De Borde Haute;31750;Escalquens ;;2.07;2.2;;3.6;;
1128; Centre Commercial Ste Germaine Esplanade Ste Germaine;31820;Pibrac ;5.53;;2.2;;3.48;;1.53
1129; Ch De Patafloux Quartier Gabon;13220;Châteauneuf-les-Martigues ;5.12;;;;;;
1130; Chaussee De Chappe;18000;Bourges ;4.6;1.49;;2.29;2.89;1.89;1.25
1131; Chemin D'arancette Marracq;64100;Bayonne ;4.65;1.59;1.55;2.29;2.89;1.99;1.25
1132; Chemin De Bellevue Zi Les Grasses;01960;Péronnas ;4.65;;1.39;;2.89;3.98;1.25
1133; Chemin De Blaches Cc La Croix D'or;26700;Pierrelatte ;4.65;1.59;1.55;2.39;;1.99;1.29
1134; Chemin De Clairefontaine;14800;Tourgéville ;4.65;1.59;1.54;;2.99;2.15;1.25
1135; Chemin De La Vieille Colme;59630;Bourbourg ;4.65;1.59;1.55;;2.99;2.15;
1136; Chemin De Sierck;57480;Rettel ;4.65;1.59;1.59;;2.99;2.15;1.25
1137; Chemin De St Claude Bretelle De L'autoroute;06600;Antibes ;;1.59;1.59;2.29;2.99;2.29;
1138; Chemin De Tartifume Cc Les Rives D'arcins;33130;Bègles ;;1.59;1.59;2.29;2.95;2.29;
1139; Chemin Des Allix;45500;Gien ;4.65;1.49;;2.21;2.89;1.89;1.25
1140; Chemin Des Tourelles Rd 257;91360;Épinay-sur-Orge ;4.6;1.59;1.55;2.21;2.99;;
1141; Chemin Du Figuier;01700;Miribel ;;1.59;1.55;;;2.09;1.29
1142; Chemin Du Refuge;06250;Mougins ;4.65;1.59;1.55;2.21;2.99;2.15;1.25
1143; Chemin Finosello;20000;Ajaccio ;4.6;1.49;;2.05;2.99;1.99;1.25
1144; Chemin Flaquier Nord Cc Val Du Tignet-Rte Draguignan;06530;Le Tignet ;4.65;1.65;1.59;;2.99;2.29;1.35
1145; Chemin Mailheau;31270;Frouzins ;4.65;1.59;1.39;2.21;2.95;1.99;1.25
1146; Chemin Morcy La Landaz;74200;Thonon-les-Bains ;4.79;1.65;;;2.99;2.29;1.35
1147; Clos Du Mont D'est Cc Des Arcades;93160;Noisy-le-Grand ;;1.65;1.59;2.45;3.15;2.29;1.35
1148; Creis Er Prat;56240;Plouay ;4.65;1.59;1.55;2.39;2.89;1.99;1.25
1149; D 14;78410;Flins-sur-Seine ;4.6;1.65;1.59;2.29;2.99;2.39;1.35
1150; D 515 Cc St Clair;14200;Hérouville-Saint-Clair ;4.6;1.59;1.55;;2.89;2.15;1.35
1151; D102 Lieudit La Croisette;07200;Aubenas ;4.65;1.49;1.39;2.39;2.89;1.89;1.25
1152; D86 Ldit Les Cotes;07800;Saint-Georges-les-Bains ;4.99;1.96;1.97;2.76;3.08;2.12;1.33
1153; D904 De Verdun;55160;Fresnes Woevre ;5.15;1.79;1.9;;3.05;2.4;1.29
1154; Engelgrund Auf Die Strasse Rd 468;67630;Scheibenhard ;;1.59;1.59;2.21;2.89;2.15;1.25
1155; Esplanade Compans Caffarelli;31000;Toulouse ;4.79;1.69;1.65;2.28;2.99;2.79;1.35
1156; Garage Du Canal Rte Des Platanes;77440;Lizy-sur-Ourcq ;4.65;1.59;1.55;;2.99;2.09;1.25
1157; Grand Place;59870;Marchiennes ;5.01;2.07;1.76;2.87;3.07;;1.28
1158; Grillot Prejeannot;21190;Corpeau ;4.75;1.59;1.45;;;2.29;1.25
1159; Impasse Chantilly;33210;Langon ;;1.9;2.02;;2.99;;1.29
1160; Impasse Des Figuiers Quartier Des Coumbettes;83520;Roquebrune-sur-Argens ;4.65;1.59;1.55;;2.99;2.09;1.25
1161; L'aulnaie Cc Du Chene;44450;Saint-Julien-de-Concelles ;4.65;1.49;1.55;;2.89;1.99;1.25
1162; La Croix Blanche;48400;Florac Trois Rivières ;4.75;1.59;1.55;2.21;;2.15;1.25
1163; La Croix Rouge Za Est;60420;Maignelay-Montigny ;4.65;1.59;1.55;;;;1.25
1164; La Marcissiere Rue Guillaume Seznec;61130;Saint-Martin-du-Vieux-Bellême ;4.65;1.59;1.39;2.45;;2.09;
1165; La Rebeyrette;23200;Aubusson ;4.65;1.59;;;2.95;2.09;1.25
1166; Le Bourg Sud;24130;Prigonrieux ;4.65;1.59;1.39;;2.95;2.09;
1167; Le Briou;58700;Prémery ;4.75;;;;2.99;2.15;1.25
1168; Le Chene Vert Route De Paimpol;22580;Plouha ;4.65;1.59;1.55;2.45;2.99;1.99;1.25
1169; Le Clos Pontcel N16;95270;Luzarches ;4.65;1.59;1.45;;2.99;2.15;1.25
1170; Le Mas 1859 Route De Lyon;07430;Davézieux ;4.65;1.65;;2.45;2.99;2.29;1.25
1171; Le Moulin Route D'aucamville;82170;Grisolles ;4.65;1.59;1.39;;2.95;1.99;1.25
1172; Le Pommeret;35310;Bréal-sous-Montfort ;;1.59;1.39;;2.89;1.79;1.25
1173; Le Pressoir;72120;Saint-Calais ;4.65;;1.39;;2.85;1.99;1.25
1174; Le Priolat;24220;Saint-Cyprien ;5.85;1.49;1.55;2.29;2.89;2.15;1.25
1175; Le Val Aux Biches Rn 14;27380;Fleury-sur-Andelle ;4.65;1.59;1.39;2.45;2.99;2.09;1.25
1176; Les 4 Canaux Cd 986;34250;Palavas-les-Flots ;4.75;1.59;1.55;2.21;2.99;2.15;1.25
1177; Les Adrechs Lieu Dit Pas De Menc;83560;Vinon-sur-Verdon ;4.65;1.59;1.55;2.21;2.99;2.09;1.49
1178; Les Marines De Porticcio 2 Grosseto Prugna;20166;Porticcio ;4.65;1.59;;2.21;2.95;1.99;
1179; Les Quatre Vents Cd 246;50140;Mortain-Bocage ;4.65;1.59;1.39;2.39;2.99;2.15;1.25
1180; Lieu Dit Cabourdy Rn 20;31790;Saint-Jory ;4.65;1.59;1.55;;2.99;2.09;1.25
1181; Lieu Dit Cite Du Barrage;07400;Rochemaure ;4.65;1.59;1.55;2.45;;;1.25
1182; Lieu Dit Font Mourier Rn 98;83310;Cogolin ;4.65;1.59;1.59;;;4.3;
1183; Lieu Dit Gorgier Cc Fontneuve;06650;Opio ;4.65;1.65;1.65;;2.99;2.29;1.35
1184; Lieu Dit La Fege Rn97;83790;Pignans ;4.65;1.59;1.55;;2.99;2.15;1.25
1185; Lieu Dit La Glacerie;14420;Potigny ;5.01;1.92;;2.7;2.99;2.22;
1186; Lieu Dit Laschamps;19350;Chabrignac ;4.97;1.9;2.02;2.5;2.99;2.15;1.29
1187; Lieu Dit Le Goutal;11290;Lavalette -Goutal ;4.87;1.87;1.99;;2.99;2.1;1.25
1188; Lieu Dit Le Sablas Rn 88;12160;Baraqueville ;4.65;1.49;1.55;;2.89;;1.25
1189; Lieu Dit Les Aubregades 9107 Boulevard Gambetta;83390;Cuers ;4.65;1.59;1.55;;2.99;2.09;1.25
1190; Lieu Dit Les Macarons L'ile Verte;06560;Valbonne ;4.65;1.65;1.59;2.35;2.99;2.29;1.35
1191; Lieu Dit Noillac;24340;Mareuil en Périgord ;4.99;2.0;1.7;2.8;2.99;;1.22
1192; Lieu Dit Plaisance Zone Artisanale;12120;Cassagne Begonhes ;4.97;1.9;2.02;;2.99;2.15;
1193; Lieu-Dit Les Arses Rn 20;66760;Ur ;4.65;1.59;1.55;;2.99;2.09;1.25
1194; Lieu-Dit Prat Nerous Route De Vielle-Aure;65170;Bourisp ;4.75;1.59;1.55;2.21;2.99;2.15;1.25
1195; Lieudit Aux Claous;40400;Tartas ;4.65;1.59;1.55;;2.95;1.99;1.25
1196; Lieudit Hontaut Route D'eauze;32100;Condom ;4.65;1.7;1.55;2.22;2.95;2.15;1.25
1197; Lieudit Le Champ Du Cure;60490;La Neuville-sur-Ressons ;4.85;1.78;1.7;;2.99;2.05;1.22
1198; Lieudit St Sauveur Zac Petite Camargue;30600;Vauvert ;4.65;1.59;1.59;2.21;2.99;;1.25
1199; Lotissement La Tuilerie;30250;Villevieille ;4.65;1.49;1.39;2.2;2.89;1.99;1.25
1200; Maner Ker Elo;29170;Fouesnant ;4.65;1.49;1.55;;2.95;1.99;1.25
1201; Marsalou Route D'aurillac;15200;Mauriac ;4.65;1.49;1.55;2.39;2.89;1.89;1.25
1202; N 196 Lieu-Dit Trevol;20110;Viggianello ;4.79;1.65;1.49;2.2;2.99;;1.35
1203; N 24 Cc Tremblay;61100;Saint-Georges-des-Groseillers ;4.65;1.45;1.55;2.39;2.89;1.79;1.03
1204; N 43;08110;Blagny ;4.65;1.59;1.55;2.21;2.95;1.99;1.25
1205; N 7 Les Plaines;42120;Le Coteau ;4.65;1.59;1.39;2.45;2.99;1.99;1.25
1206; Pa Les Rolandieres 2 Rue De La Rouelle;35120;Dol-de-Bretagne ;4.65;1.49;;2.39;2.89;;1.25
1207; Parc Activite Est De La Baie;50300;St Martin Des Champs ;4.6;1.49;1.55;2.39;2.89;2.15;1.25
1208; Parc Commercial De La Douitee;14500;Vire Normandie ;4.65;1.49;1.39;;2.89;1.99;1.25
1209; Parc D'activites Les Etangs Les Roseaux;13920;Saint-Mitre-les-Remparts ;4.65;1.59;1.55;;;4.18;1.25
1210; Paumule Le Pechereau;36200;Argenton-sur-Creuse ;4.65;1.49;;2.2;2.89;1.99;1.25
1211; Penfoul Bihan;29950;Bénodet ;4.65;1.49;1.55;;2.95;1.89;1.25
1212; Petit Chemin D'aix Le Payennet;13120;Gardanne ;4.65;1.49;;;2.99;2.09;1.25
1213; Place Charles De Gaulle Cc Du Pont De L'aulnoye;77360;Vaires-sur-Marne ;4.65;1.59;1.55;;2.99;1.99;1.25
1214; Place De Bretagne;56270;Ploemeur ;4.65;1.49;1.55;2.45;2.99;2.09;1.25
1215; Place De L'europe 6 Bvd Foment Sardane;66100;Perpignan ;5.38;1.97;;;3.39;;1.46
1216; Place De L'hotel De Ville;76300;Sotteville-lès-Rouen ;4.65;1.59;1.55;2.45;2.99;2.15;1.25
1217; Place De La Gare;84700;Sorgues ;4.65;1.9;1.84;2.45;2.87;2.15;1.29
1218; Place De La Liberte;21800;Chevigny-Saint-Sauveur ;5.14;1.97;1.93;2.86;3.32;;1.51
1219; Place De La Resistance;66400;Céret ;4.65;1.59;1.43;;2.99;2.15;
1220; Place De La Revolution;30160;Bessèges ;4.75;1.59;1.55;2.21;;2.15;1.25
1221; Place Des Deportes;88100;Saint-Dié-des-Vosges ;;2.14;1.82;;;2.21;1.3
1222; Place Des Grands Hommes Cc Les Grands Hommes;33000;Bordeaux ;4.79;1.65;1.54;;3.19;2.59;1.35
1223; Place Des Promenades;70140;Pesmes ;5.15;1.79;1.9;2.79;3.05;2.4;1.29
1224; Place Du Beffroi 22 Bis Rue Du General Leclerc;80000;Amiens ;4.65;1.59;1.55;;2.99;1.79;1.25
1225; Place Du Commerce;51430;Tinqueux ;5.29;1.85;;2.89;3.19;2.5;1.35
1226; Place Du General De Gaulle;59330;Hautmont ;5.19;2.19;1.86;2.45;3.35;2.28;1.35
1227; Place Du General De Gaulle Ancienne Halle;36400;La Châtre ;4.65;1.59;1.39;2.21;2.95;1.99;
1228; Place Du Grand Ouest;91300;Massy ;4.6;1.65;;2.21;3.15;;
1229; Place Du Gue;72230;Guécélard ;5.72;2.33;2.02;;3.49;;1.43
1230; Place Du Marche;71520;Tramayes ;5.58;2.15;;;3.61;;
1231; Place Du Verger;22690;Pleudihen-sur-Rance ;5.54;2.33;2.02;;3.28;2.53;
1232; Place Gambetta;91330;Yerres ;5.39;1.96;2.09;;3.58;2.25;1.6
1233; Place Gustave Delecroix Rue Jean Jaures;59175;Templemars ;;2.14;1.82;2.98;3.25;2.21;1.3
1234; Place Jules Grand Clement;69100;Villeurbanne ;4.79;1.65;1.45;2.45;2.99;;1.29
1235; Place Napoleon Iii Cc Bellevue;29200;Brest ;4.65;1.49;1.55;2.39;;1.89;1.25
1236; Place Raphael Elize;72000;Le Mans ;4.65;1.59;1.42;2.45;2.99;2.15;1.25
1237; Place St Georges;12500;Espalion ;5.68;2.07;2.2;;;2.45;
1238; Plan De La Grande Vigne;83440;Callian ;4.65;1.59;1.55;;2.99;2.09;1.25
1239; Porte De Mons Rue Eugene Mascard;59570;Bavay ;4.75;1.59;1.45;2.45;2.99;;1.25
1240; Poulguinan Kerdrezec;29000;Quimper ;;1.49;1.55;2.39;2.89;1.89;1.25
1241; Pres De La Bouverie;27380;Charleval ;4.65;1.65;1.59;;2.99;2.15;1.25
1242; Puy Laurent Est;24310;Brantôme en Périgord ;4.65;1.59;1.55;;2.99;2.15;1.25
